"Igloo-Rank","Igloo-TotalOccurences","Igloo-Search_Term","Igloo-SSR-content_name","Igloo-SSR-content_id","Igloo-SSR-content_type","Igloo-QSR-content_name","Igloo-QSR-content_id","Igloo-QSR-content_type","Amp-content_name","Amp-content_id","Amp-content_type","SSR PASS/FAIL","QSR PASS/FAIL"
"84","1082","war of the roses","War Of The Roses","25445146","podcast","Dave Ryan's War of the Roses","27679094","podcast","War of the Roses - The Jubal Show","72009269","PODCAST","FAIL","FAIL"
"85","1066","morgan wallen","Morgan Wallen","30731053","artist","Morgan Wallen","30731053","artist","Morgan Wallen","30731053","ARTIST","PASS","PASS"
"86","1063","npr","NPR Podcasts","0","link","NPR News Now","28457184","podcast","NPR Podcasts","330","link","FAIL","FAIL"
"87","1062","pink","P!nk","34748","artist","P!nk","34748","artist","Pink Floyd","165","ARTIST","FAIL","FAIL"
"88","1055","bible","The Bible in a Year (with Fr. Mike Schmitz)","75927728","podcast","Bible in a Year with Jack Graham","102314784","podcast","The Bible in a Year (with Fr. Mike Schmitz)","75927728","podcast","PASS","FAIL"
"89","1040","r&b","R&B","0","link","90s R&B Playlist","312064750::WpRhreAEMxWVPizQn5NgN5","curated_playlist","R&B","326","link","FAIL","FAIL"
"90","1035","unholy","Sam Smith & Kim Petras/Unholy","184989842","track","Sam Smith & Kim Petras/Unholy","184989842","track","Unholy","184989841","link","FAIL","FAIL"
"91","1034","migos","Migos","966977","artist","Migos","966977","artist","Migos","966977","artist","PASS","PASS"
"92","1031","kids","Kidz Bop Kids","1208","artist","Kidz Bop Kids","1208","artist","iHeartRadio Family","939","link","FAIL","FAIL"
"93","1022","tank","Tank","41779","artist","Tank","41779","artist","Tank","41779","ARTIST","PASS","PASS"
"94","1017","the ben shapiro show","The Ben Shapiro Show","28178102","podcast","The Ben Shapiro Show","28178102","podcast","The Ben Shapiro Show","28178102","PODCAST","PASS","PASS"
"95","1000","jelly roll","Jelly Roll","40379","artist","Jelly Roll","40379","artist","Jelly Roll","40379","ARTIST","PASS","PASS"
"96","989","korn","Korn","33170","artist","Korn","33170","artist","Korn","33170","ARTIST","PASS","PASS"
"97","982","gospel","Black Gospel","0","link","Black Gospel","159","link","Black Gospel","159","link","FAIL","PASS"
"98","964","nirvana","Nirvana","40473","artist","Nirvana","40473","artist","Nirvana","40473","ARTIST","PASS","PASS"
"99","961","edm","EDM","0","link","Classic EDM","312064750::F17EPyeKK6x49Li697auNk","curated_playlist","EDM","625","link","FAIL","FAIL"
"100","958","workout","Workout Hits","0","link","Workout Hits","1596","link","Workout Hits","1596","link","FAIL","PASS"
"101","947","classical","Classical","0","link","Classical Music","545803","artist","Classical","322","link","FAIL","FAIL"
"102","944","sade","Sade","89229","artist","Sade","89229","artist","Sade","89229","ARTIST","PASS","PASS"
"103","943","jelly","Jelly Roll","40379","artist","Jelly Roll","40379","artist","Jelly Roll","40379","ARTIST","PASS","PASS"
"104","936","steve","The Steve Harvey Morning Show","27928551","podcast","The Steve Harvey Morning Show","27928551","podcast","The Steve Harvey Morning Show","27928551","PODCAST","PASS","PASS"
"105","932","the breakfast club","The Breakfast Club","24992238","podcast","The Breakfast Club","24992238","podcast","The Breakfast Club","24992238","podcast","PASS","PASS"
"106","921","selena","Selena","28220","artist","Selena","28220","artist","Selena Gomez","57706","ARTIST","FAIL","FAIL"
"107","921","we will rock you","Royal Philharmonic Orchestra/We Will Rock You","5940976","track","Queen/We Will Rock You","586169","track","We Will Rock You","586169","TRACK","FAIL","PASS"
"108","919","meditation","Meditation","411301","artist","Meditation Music Guru & Spa Music Collective","32436944","artist","Spa","7248","live","FAIL","FAIL"
"109","915","840","WHAS-AM","969","live","WHAS-AM","969","live","News Radio 840 WHAS","969","live","FAIL","FAIL"
"110","912","kiss","Kiss","35150","artist","KIIS-FM","185","live","102.7 KIIS-FM Los Angeles","185","live","FAIL","FAIL"
"111","907","cornbread mafia","Cornbread Mafia","103395162","podcast","Cornbread Mafia","103395162","podcast","Cornbread Mafia","103395162","podcast","PASS","PASS"
"112","901","ashanti","Ashanti","39123","artist","Ashanti","39123","artist","Ashanti","39123","ARTIST","PASS","PASS"
"113","900","pit bull","Pitbull","42201","artist","Pitbull","42201","artist","Pitbull","42201","artist","PASS","PASS"
"114","899","z100","WHTZ-FM","1469","live","WHTZ-FM","1469","live","Z100","1469","live","PASS","PASS"
"115","898","elvis","Elvis Presley","1014","artist","Elvis Presley","1014","artist","Elvis Presley","1014","artist","PASS","PASS"
